date,air_humidity_DWD,air_temperature_daily_max_DWD,air_temperature_daily_mean_DWD,air_temperature_daily_min_DWD,precipitation_DWD,snow_height_DWD,sunshine_hours_DWD,wind_speed_max_DWD
2/22/2005,80,0.1,-1.7,-3.3,1.2,1,1.1,13.3
2/23/2005,89,0.2,-1.2,-3.4,0.5,3,0,7.9
2/24/2005,80,1.3,-1.1,-4.6,0,2,6.4,6.8
2/25/2005,93,1.1,-1.1,-4.5,0.3,0,0,3.7
2/26/2005,92,1.2,-0.2,-3.5,2.2,0,0,13.5
2/27/2005,69,-2.1,-4.4,-6.9,0,2,4.7,12.9
2/28/2005,67,-0.4,-5,-10.5,0,1,1.7,8.7
3/1/2005,78,-1.9,-3.6,-5.4,2.2,0,0,12.4
3/2/2005,80,-0.4,-1.7,-3,3.1,4,0,7.8
3/3/2005,88,-0.7,-2.4,-7.1,0.5,6,0,10.7
3/4/2005,79,-0.1,-5.5,-11.9,0,6,7.3,6.6
3/5/2005,76,0.2,-3.7,-7.2,0.1,4,7.7,10.6
3/6/2005,81,1.5,-3.3,-7.9,0,4,4,8
3/7/2005,93,3.7,0.5,-3.4,1.8,3,0.7,9.5
3/8/2005,92,4.1,2.7,1.7,2.5,0,0,11.2
3/9/2005,87,6.7,2.9,-2.1,0.8,0,1.7,9.1
3/10/2005,74,6.5,1.3,-4.6,0.7,0,10.1,8.9
3/11/2005,87,4.5,2.8,1.5,8.3,0,0,18.3
3/12/2005,88,4.2,2,0.4,9.6,0,0.5,16.2
3/13/2005,89,5.9,2.4,0.6,1.9,0,1.7,13.9
3/14/2005,72,7.1,3.9,1,0,0,3.8,8.8
3/15/2005,64,12.4,7.8,1.9,0,0,3.4,13.4
3/16/2005,61,18.3,14.2,9.8,1,0,9.5,15.6
3/17/2005,84,15.7,12,10.4,1.7,0,0,16.3
3/18/2005,96,10.8,9.1,8,2.4,0,0,14
3/19/2005,91,9.4,7,3.8,0,0,0,8.2
3/20/2005,69,8.9,4.4,0.2,0,0,11.1,7.6
3/21/2005,58,13.2,6.2,-0.3,0,0,11.3,9.7
3/22/2005,52,18,10.6,3,3.3,0,8.6,9.2
3/23/2005,79,17.6,12.5,7.2,0,0,8.4,8.2
3/24/2005,71,20.1,13.3,6.4,4.3,0,7.9,8.6
3/25/2005,89,15.5,11.6,9.1,2.2,0,1.6,8.5
3/26/2005,91,14,10,6.6,0,0,3.2,6.9
3/27/2005,86,15,10.3,6.6,0,0,3.5,8.5
3/28/2005,89,13.5,10.5,8.7,2,0,0.5,6.6
3/29/2005,91,13.3,10.2,8,0,0,0.3,8.4
3/30/2005,66,14.1,9.7,7,0,0,4.8,12.3
3/31/2005,55,13.8,7.9,2.3,0,0,12.1,9.9
4/1/2005,49,15.2,8.4,1.1,0,0,12.4,9.1
4/2/2005,44,17,10.3,1.5,0,0,12.5,10.8
4/3/2005,40,20.9,13.1,2.8,0,0,12.3,7.1
4/4/2005,49,21.6,14.5,6.8,3.8,0,8.9,10.5
4/5/2005,71,13,9.2,4.8,0,0,4.7,13.4
4/6/2005,65,13.8,9.4,3.5,2.3,0,5.5,13.4
4/7/2005,75,12.5,8.9,6,2.6,0,7.8,20.6
4/8/2005,82,10,6.3,2.8,2.2,0,0.8,8.4
4/9/2005,75,8,4.1,1.5,2,0,3.7,11.6
4/10/2005,91,10.4,6.5,3.9,3.1,0,0.1,10.3
4/11/2005,82,12.1,8.4,4.7,0,0,0,6.5
4/12/2005,75,16.5,9.8,2.5,0,0,3.8,4.3
4/13/2005,71,16.5,12.1,8,0.5,0,3.5,9.7
4/14/2005,69,17.1,13.4,9.6,0,0,3.5,9.5
4/15/2005,74,21.2,12.9,8.1,2,0,8.8,15.3
4/16/2005,72,20.3,13,7.3,0,0,6,10.1
4/17/2005,86,16.2,11.3,8.3,0,0,3.6,9.4
4/18/2005,84,17.2,12.7,8.5,0.1,0,0.9,6
4/19/2005,90,NA,8.9,NA,3.8,0,NA,NA
4/20/2005,54,12.7,7.9,2.7,0,0,10.4,11.8
4/21/2005,58,13.4,7,-0.5,0,0,11.3,7
4/22/2005,55,15.4,8.1,-0.5,0,0,13.7,5.9
4/23/2005,57,17.9,10.2,1.5,0,0,13.1,7.9
4/24/2005,55,18,11.8,4.5,0,0,10.7,10.8
4/25/2005,65,12.7,8.8,6,1.4,0,4.3,11.5
4/26/2005,78,13.5,10.7,7.5,4.3,0,0.6,6.9
4/27/2005,78,15.5,11.1,7.3,3.7,0,4.1,14.5
4/28/2005,66,17.5,12.3,6.5,0,0,11.1,7.8
4/29/2005,86,16.9,12.9,9.2,7.2,0,1,6.4
4/30/2005,88,18.4,14.1,9.2,0,0,0.3,5.4
5/1/2005,71,27.5,18.7,8.4,0,0,11.6,5.9
5/2/2005,65,25.5,20.2,13.9,1.6,0,5.5,9.5
5/3/2005,95,16.6,14.1,10.5,10.9,0,0.2,8.9
5/4/2005,84,16.7,13,8.3,0,0,2.6,9.6
5/5/2005,66,14,9.5,3.7,3.9,0,6.5,12.7
5/6/2005,85,12.8,8.8,5.4,4.5,0,2.8,14.7
5/7/2005,90,10,6.7,3.9,6.8,0,0.5,15.1
5/8/2005,87,10.6,5.9,2.8,8.6,0,4.8,16.7
5/9/2005,84,11.7,6.4,3.1,6.8,0,4.8,10
5/10/2005,81,11.9,7.4,4.3,1.9,0,3.9,13
5/11/2005,77,13.5,8.1,3.7,1.1,0,5.4,10.8
5/12/2005,75,13,7.8,1.8,0,0,6.3,7.5
5/13/2005,67,16.8,11.1,3.3,0,0,10,10
5/14/2005,71,15.6,11.6,9.3,0.3,0,0.5,9.1
5/15/2005,82,12.7,9.4,6.8,0.2,0,3.7,7.4
5/16/2005,81,15.8,9.4,3.5,1.7,0,1.8,10.4
5/17/2005,68,12.6,8,4.5,0,0,3.3,6.9
5/18/2005,66,13.8,8,1.8,0,0,8.6,7.3
5/19/2005,58,18.9,12,2.1,1.9,0,11.7,10.6
5/20/2005,74,21.6,15,10.1,11.2,0,4.3,9.3
5/21/2005,73,21.2,16.5,11.4,0,0,6.4,7.3
5/22/2005,67,21.7,16.8,12.2,1.2,0,7.8,9.8
5/23/2005,69,18.3,14,8.4,0,0,7.9,9.1
5/24/2005,64,19.1,14.1,8.1,0,0,5.7,9.7
5/25/2005,65,23,17.5,12.5,0,0,8.2,12.5
5/26/2005,58,29.6,21.8,11.7,0,0,12.7,11.3
5/27/2005,59,31,23.4,14.1,0,0,14.4,6.1
5/28/2005,52,31.7,24.8,14.9,0,0,14.7,11.1
5/29/2005,57,24.7,17.9,11.7,18.1,0,12.4,11.3
5/30/2005,91,13.2,9.9,7.9,5.2,0,0,12.2
5/31/2005,85,15.7,10.1,6,5.5,0,4.8,12.9
6/1/2005,67,16.3,10.7,4.3,2.3,0,8.5,7.5
6/2/2005,84,19.6,14,9.3,0,0,0.7,8.6
6/3/2005,74,26.2,18.7,12.1,0.6,0,12,16.9
6/4/2005,83,17.8,13.6,11.5,11.6,0,4.1,15.1
6/5/2005,93,15.5,12.6,10.5,19,0,0.5,9.4
6/6/2005,74,14.1,10.7,6.7,0.1,0,1.7,10.8
6/7/2005,68,15.4,10.5,6.4,0,0,8,14.2
6/8/2005,70,16.5,10.9,4.8,0,0,8.3,8.2
6/9/2005,65,19.8,13,4.2,0,0,12.1,6.6
6/10/2005,74,19.8,12.8,9,0.7,0,4.2,12.5
6/11/2005,76,14,10.2,8,0.3,0,2.5,10.4
6/12/2005,77,14.2,10.6,5.8,7.3,0,5,11.1
6/13/2005,78,16.9,11.7,7.1,0.2,0,7.2,11.6
6/14/2005,63,21.9,15.2,6.5,0,0,12.8,7.3
6/15/2005,63,25,18.2,8,0,0,13,9.6
6/16/2005,62,22.6,19,13.7,0,0,7.9,10.7
6/17/2005,83,23.2,18.7,15,0.3,0,1,10.4
6/18/2005,58,23.4,17.4,12.2,0,0,14.7,7.1
6/19/2005,57,27.9,20.1,9.8,0,0,16.1,5.7
6/20/2005,59,30.6,24,14.6,0,0,15.6,6.2
6/21/2005,66,27.4,22.2,14.8,0,0,8.1,10.9
6/22/2005,64,24.6,18.8,13,0,0,11.8,8
6/23/2005,57,29.2,22,12.4,0,0,16,6.6
6/24/2005,60,32,24.5,18.2,0,0,8.7,5.8
6/25/2005,83,23.6,19,12.6,3.5,0,4.4,9.8
6/26/2005,67,22.9,17,12.3,0,0,12.6,7.3
6/27/2005,62,24.5,17.7,9.9,0,0,15.9,7.9
6/28/2005,66,24.6,17.4,9.3,0,0,15.2,7.2
6/29/2005,65,24.7,17.5,11.6,0,0,4.8,6.2
6/30/2005,82,19.8,17.1,14.6,3.6,0,1.2,5.8
7/1/2005,85,22.3,16.5,12.2,3.4,0,1.6,11.6
7/2/2005,76,23,18.3,10.2,0,0,6.9,5.5
7/3/2005,74,25.9,20.4,16.9,0,0,5.9,6.4
7/4/2005,76,29.5,20.3,13.3,7.8,0,8.4,14.9
7/5/2005,72,20.2,14.7,9.5,0,0,7,9.5
7/6/2005,79,20.4,14.9,8.7,5.5,0,4.6,9.5
7/7/2005,80,19.4,15,12.2,0.2,0,2.6,6.9
7/8/2005,86,19.6,14.7,11.5,5.2,0,2.5,8.1
7/9/2005,87,19.8,15.8,10.7,0,0,1.3,5.8
7/10/2005,66,28.9,21.5,13.7,1.1,0,11.1,12.2
7/11/2005,69,28.2,21.2,13.9,0,0,12.4,9.9
7/12/2005,62,30.3,22.5,14.1,0,0,12.4,8.8
7/13/2005,69,NA,21.7,NA,0,0,NA,NA
7/14/2005,69,28.3,21.3,14.9,0,0,12,5.8
7/15/2005,61,28.4,22,15.7,0,0,11,11.7
7/16/2005,69,23.3,17.9,11.8,0,0,7.1,9.3
7/17/2005,71,22.2,16.6,10.2,0,0,5.6,7.3
7/18/2005,65,28.5,20.4,11.6,0,0,12.1,6.6
7/19/2005,64,21.6,18.3,15.8,0.4,0,3.8,11.2
7/20/2005,73,20.8,15.8,12.2,1.8,0,3.3,16.3
7/21/2005,87,16.5,14.3,12.3,3.1,0,0.4,13
7/22/2005,94,14.4,13.2,11.8,4.4,0,0,8.4
7/23/2005,79,17.8,14.5,11.8,0,0,0.6,7.8
7/24/2005,76,24.7,17.5,9.8,3.4,0,7.8,6.9
7/25/2005,90,22.3,17.6,15.3,13.8,0,1.8,8.3
7/26/2005,92,16.5,14.7,11,0.9,0,1.2,6.8
7/27/2005,88,25.2,17.7,12.4,3.7,0,2.1,6.5
7/28/2005,77,30.9,23.4,17.5,0.3,0,9.2,8.8
7/29/2005,81,28.6,21.8,18,6.5,0,6.4,11.1
7/30/2005,82,22.9,18,13.1,5.8,0,5.2,10.1
7/31/2005,84,19.7,15.3,13.1,4.7,0,1.8,11.9
8/1/2005,74,19.4,15,11,0,0,0.7,7.5
8/2/2005,78,19.9,14.3,9,0,0,4.6,4.4
8/3/2005,80,23.6,16.4,12.2,2.9,0,6.2,12.6
8/4/2005,79,20.6,15.4,11.2,2.1,0,7.8,12.3
8/5/2005,85,20.2,14.8,10.7,6.9,0,0.5,10.5
8/6/2005,91,17.5,12.3,9.4,5.5,0,4.5,11.9
8/7/2005,88,17.3,12.1,9.3,3.1,0,4.8,10.9
8/8/2005,89,19.8,13.8,11,1.8,0,2.1,9.7
8/9/2005,79,16.7,13.3,10.6,0.8,0,1.1,10
8/10/2005,84,18.2,13.8,11.1,1.3,0,2,11.8
8/11/2005,84,18.2,14.7,11.2,0.2,0,0.5,9.2
8/12/2005,93,19.7,13.8,10,4.6,0,2.2,5.7
8/13/2005,74,20.2,15.6,11.4,4,0,5.1,7.9
8/14/2005,89,19.3,15.6,13.7,8.8,0,1.1,8.5
8/15/2005,89,19.4,15.8,11.6,0.1,0,0.1,8.3
8/16/2005,87,18.8,14.1,9.9,0,0,1.5,3.8
8/17/2005,77,23,16,8,0,0,13.6,6.5
8/18/2005,69,27.3,20.1,11.7,0,0,13.4,8.7
8/19/2005,71,NA,21.5,NA,9.8,0,9.4,NA
8/20/2005,NA,NA,17.5,NA,0.9,0,NA,NA
8/21/2005,NA,NA,17.1,NA,0.2,0,NA,NA
8/22/2005,NA,NA,16.5,NA,0.3,0,NA,NA
8/23/2005,NA,NA,17.4,NA,0,0,NA,NA
8/24/2005,NA,NA,15.3,NA,0.7,0,NA,NA
8/25/2005,90,NA,NA,NA,3.8,0,NA,NA
8/26/2005,83,16.6,12.5,9.6,0.4,0,5.5,14.5
8/27/2005,81,19.4,14.6,11,0.1,0,1.4,8
8/28/2005,76,22.8,16,9.3,0,0,10,6.7
8/29/2005,73,25.4,18,10.1,0,0,12.9,6.9
8/30/2005,74,25.9,18.8,11,0,0,12.6,6.1
8/31/2005,68,28.9,21.5,13,0,0,12.8,10.1
9/1/2005,73,29.4,21.4,16.3,0,0,10.2,11.2
9/2/2005,81,24.4,19.4,15.6,0,0,5.3,5.6
9/3/2005,73,23.6,18.3,12.6,0,0,10.4,8.3
9/4/2005,71,25,17.6,9.7,0,0,11.9,8.4
9/5/2005,63,26.4,19.2,12.6,0,0,12.6,8.4
9/6/2005,64,28.5,20.3,12,0,0,11.5,5.9
9/7/2005,74,28.4,21.1,13.6,0,0,10.3,6.4
9/8/2005,72,28.2,21.4,15.5,0,0,11.5,6.9
9/9/2005,76,26.2,20.6,15.9,0,0,7.3,7.4
9/10/2005,78,26.3,20.5,15.7,0,0,10,6.2
9/11/2005,90,18,16.9,16,0,0,0,7.4
9/12/2005,81,20.5,16.3,10.8,0,0,3.2,10.8
9/13/2005,79,20.3,14.2,9.5,0,0,10,4.4
9/14/2005,90,18,14.9,10,1.3,0,1.5,11
9/15/2005,93,18.5,14.6,11.5,22.6,0,1.5,7.7
9/16/2005,85,16,11.3,5.8,1.6,0,4.9,12.7
9/17/2005,83,15.9,9.3,4.2,0.4,0,9,8.2
9/18/2005,78,17,10,3.3,0,0,11.5,4.8
9/19/2005,77,18.9,11.1,4.7,0,0,11.5,5.8
9/20/2005,76,20.5,11.9,4.9,0,0,11,5.3
9/21/2005,78,20.8,12.9,5.2,0,0,10.9,5.6
9/22/2005,76,21.2,13.7,7.8,0,0,10.8,5.9
9/23/2005,76,23,14.9,7.8,0,0,10.4,7.8
9/24/2005,89,19.9,14,9.6,0.2,0,4.2,6
9/25/2005,85,21.4,15.2,9.7,1.3,0,3.2,6.3
9/26/2005,90,17.8,14.4,12.4,1.8,0,1,7.7
9/27/2005,82,18.4,15.4,12.9,1.4,0,0,9.1
9/28/2005,88,NA,12.5,NA,3.6,0,NA,NA
9/29/2005,84,14.6,11.1,9.1,4.9,0,3,13.1
9/30/2005,83,14.7,11.3,7.6,14.9,0,1.7,10.1
10/1/2005,95,14.2,11.9,7.9,1.7,0,0.4,10.5
10/2/2005,90,16.4,10.4,7.3,0.1,0,4.1,6.9
10/3/2005,90,16,9.8,4.7,0,0,6.9,6.9
10/4/2005,90,14.8,11.3,7.1,0,0,0.4,9.8
10/5/2005,90,17.3,13.3,10.7,0,0,6.3,9.3
10/6/2005,97,17,12.5,8.9,0,0,3.9,6.5
10/7/2005,89,19.1,12.6,8.4,0,0,7.1,9.1
10/8/2005,89,18.8,13.3,8.2,0,0,6.8,6.3
10/9/2005,89,18.6,14.2,10.4,0,0,2.7,7.1
10/10/2005,87,21.5,14.3,9.3,0,0,8.5,5.5
10/11/2005,81,19.4,13.2,8.7,0,0,9.2,7.3
10/12/2005,80,21.4,14,8.8,0,0,8.7,6.2
10/13/2005,84,19.5,11.9,6.3,0,0,8.8,5.4
10/14/2005,86,20.2,11,4.6,0,0,8.2,3.3
10/15/2005,91,16.5,10,6.2,0,0,6.2,7.8
10/16/2005,76,14.5,9,4.9,0,0,8.7,9.7
10/17/2005,75,13.8,8.4,3.4,0,0,8.5,11.4
10/18/2005,79,12.7,8.2,4.2,0,0,8.3,11.8
10/19/2005,82,13.7,7.7,3.7,2.2,0,3,7.7
10/20/2005,83,16.7,11.7,8.5,0.9,0,3.3,12.9
10/21/2005,92,15.4,11.9,6.2,11.2,0,0.6,12.6
10/22/2005,90,14.1,11.9,10,2.5,0,1.5,10.9
10/23/2005,96,13,10.9,8.1,2.1,0,0.2,9.6
10/24/2005,97,14.1,11.4,8.5,13.5,0,0,12.4
10/25/2005,88,14.8,13.5,12.7,3.9,0,0,15.5
10/26/2005,84,17.1,13.4,10.8,0,0,2.7,15
10/27/2005,87,19.4,14.8,9.2,0,0,6.3,7.2
10/28/2005,76,21.6,16.3,10.6,0,0,7.8,11
10/29/2005,77,20.9,15.4,9.9,0,0,7.6,9.2
10/30/2005,73,20.5,15.4,10.7,0,0,7.6,7.6
10/31/2005,68,21,15.4,9.7,1.3,0,7.7,8.3
11/1/2005,81,16.6,13.2,8.3,0.5,0,2.7,10.7
11/2/2005,86,13.8,11,6.2,2.9,0,0,10.6
11/3/2005,78,19,15.5,13.2,0,0,5.4,12.2
11/4/2005,84,15.1,13.4,11.1,1.2,0,0.5,9
11/5/2005,84,12.1,8.8,6.2,0,0,4.7,9.9
11/6/2005,82,14.6,10.3,6.9,0,0,7.4,10.6
11/7/2005,92,10.3,9.4,7.8,3.5,0,0,9.9
11/8/2005,82,15.4,10.7,7.2,0,0,7.2,11.2
11/9/2005,74,14,11.2,8.7,0,0,6.4,9.2
11/10/2005,86,11.3,8.5,4.5,0.5,0,4.5,12.8
11/11/2005,94,12.9,10.7,8.7,0.1,0,0,11.2
11/12/2005,86,10.1,8.7,5.2,0,0,0,12.7
11/13/2005,87,10.8,7.9,3.8,0,0,0.8,4.2
11/14/2005,96,8.6,4.8,2.6,1.2,0,5.1,9.8
11/15/2005,96,7.1,6,4.7,6.5,0,0,12.1
11/16/2005,95,5.7,3.9,1.2,1.9,0,0.2,12.5
11/17/2005,94,7.1,3.2,1.3,7.8,0,2.1,11.9
11/18/2005,96,5.8,1.6,-2.1,0,0,4,5.2
11/19/2005,98,3.1,0.1,-3.4,0.3,0,4.5,6.1
11/20/2005,96,5.9,4.8,3.1,2.9,0,0,8.1
11/21/2005,93,8.6,4.1,-1.7,0,0,2.5,8.8
11/22/2005,98,2.6,0.2,-2.7,0,0,0,2.9
11/23/2005,93,5.3,2.6,0.7,0.2,0,1.2,2.7
11/24/2005,96,3.3,1.9,0.7,9.6,0,0.1,12.8
11/25/2005,99,2,0.4,-1,44.4,0,0,NA
11/26/2005,98,0.7,0,-0.8,3.5,28,0,10.6
11/27/2005,95,2,0.6,-0.4,1.4,26,0.9,4.5
11/28/2005,98,1.5,0.3,-0.7,0,22,0.5,5.4
11/29/2005,99,2.2,1.6,0.7,0,15,0,8.4
11/30/2005,94,3.5,1.8,0.7,0,7,2.1,8.6
12/1/2005,80,2.5,0.9,-1.2,0,6,5.8,8.2
12/2/2005,67,4.5,1.7,-1.6,0.6,6,3.9,8.3
12/3/2005,77,6.4,4.4,2.7,1.7,0,3.7,11.2
12/4/2005,93,7.5,6.4,5.8,1.8,0,0,9.2
12/5/2005,92,6.9,6.3,5.9,0.1,0,0,10.6
12/6/2005,89,6.3,5.7,5,0.1,0,0,7.2
12/7/2005,93,6.5,5.6,5.1,5.7,0,0,9.2
12/8/2005,97,5.4,4.4,3.2,1.2,0,0,8.9
12/9/2005,91,4.3,3.2,0.2,0,0,0.2,5.4
12/10/2005,100,1.1,-1.1,-3.5,0,0,0,5.8
12/11/2005,86,3.1,2.4,1,1.1,0,0,8.4
12/12/2005,92,NA,4.7,NA,0.3,0,NA,NA
12/13/2005,91,6.7,4.4,1,0.8,0,0,6.4
12/14/2005,92,6.7,5.6,4.3,1.4,0,0.3,7.9
12/15/2005,86,7.2,6.1,5.1,15.3,0,0.1,14.6
12/16/2005,86,8.6,4.3,0.5,12.6,0,1.5,23.1
12/17/2005,93,0.9,-0.8,-3.5,4,8,0.4,12.3
12/18/2005,92,2.2,0.5,-0.9,0,8,5.1,9.4
12/19/2005,92,4.2,1.8,0.2,4.9,5,0,11.7
12/20/2005,89,5.1,4.4,3.9,0,0,0,11.8
12/21/2005,92,5,4,2.5,1.6,0,0,10.6
12/22/2005,93,7,5.8,4.9,1.6,0,0.3,9.1
12/23/2005,91,7.4,6.6,5.2,0.2,0,0,10.5
12/24/2005,90,7.9,6.5,5.2,1.4,0,0.2,10
12/25/2005,88,5.2,3.5,1.7,0,0,3.8,8
12/26/2005,90,3.2,-0.1,-2.8,1.7,0,0.6,7.5
12/27/2005,85,-0.8,-2,-3,0,3,0,12.7
12/28/2005,80,-1.6,-2.6,-3.8,1.1,1,1.1,10.9
12/29/2005,90,-1.1,-2.3,-3.8,0.1,3,0,12.3
12/30/2005,79,-0.3,-1.7,-3.6,4.2,2,4.2,13.6
12/31/2005,94,5.2,2.7,-3.2,6.8,6,0,14.2
1/1/2006,91,5.3,4,1.3,1.5,0,0,8.1
1/2/2006,97,3.1,1.3,-2.2,0,0,0,6.2
1/3/2006,96,1.7,-0.1,-2.9,0.6,0,0.2,4.5
1/4/2006,94,1,0,-0.8,0,0,0,10.3
1/5/2006,89,1.4,0.2,-1.2,0.1,0,0,10
1/6/2006,92,0.7,0.1,-0.8,0.3,0,0,9.1
1/7/2006,91,0.9,0.1,-0.8,0,0,0,8.5
1/8/2006,86,1.2,0.3,-2.2,0,0,0,7.7
1/9/2006,93,0.6,-3.2,-5.9,0,0,5,4.6
1/10/2006,80,4.3,0.5,-5.6,0,0,3.8,9.5
1/11/2006,77,4.5,3.4,2.2,2.8,0,0.5,11.8
1/12/2006,90,5.4,2.9,-0.3,0,0,3.4,6.6
1/13/2006,82,4.2,1.4,-2,0,0,5.2,7.6
1/14/2006,79,6.6,-0.4,-3.7,0,0,6.6,5.1
1/15/2006,78,1.4,-2.9,-5.6,0,0,6.7,7.6
1/16/2006,75,4.6,-1.2,-6.7,1.4,0,6.7,8.4
1/17/2006,88,4.1,2.3,1,5.4,0,0,10.6
1/18/2006,91,5.4,2.9,0.4,2.2,0,3.5,10.6
1/19/2006,91,5.3,2.4,-0.2,1.7,0,0,10
1/20/2006,93,8.3,6.3,3.8,9.1,0,0,14.9
1/21/2006,88,5.9,3.9,0.3,3.4,0,0.4,16
1/22/2006,79,0.4,-3.3,-6.4,0,0,1.2,8.4
1/23/2006,68,-2.9,-5.9,-8.1,0,0,7.2,7.4
1/24/2006,69,0.7,-4.4,-8.9,0,0,6.6,5.3
1/25/2006,84,1,-1.6,-4.2,5.7,0,0,11.7
1/26/2006,77,-1.2,-3,-7.1,0,5,2.3,13.8
1/27/2006,78,-4.8,-7.8,-10.5,0,4,6.8,6.7
1/28/2006,77,-3.5,-7.7,-11.4,0,4,7.3,8.2
1/29/2006,71,0.1,-5.5,-10.9,0,4,7.4,6.3
1/30/2006,85,2.7,0.8,-2.1,0,3,0,6.9
1/31/2006,89,2.1,0,-2.8,0,1,0,5
2/1/2006,96,-2.1,-4.1,-5.7,0.2,0,2.7,3.6
2/2/2006,95,-3.7,-5.5,-7.1,0,0,0,3.6
2/3/2006,97,-0.4,-1.9,-3.7,0.4,0,0,5.4
2/4/2006,96,1.6,0,-1.1,1.3,0,0,10.5
2/5/2006,93,0.1,-1.7,-3.5,1.6,0,0,3.9
2/6/2006,98,2.7,-0.5,-4.1,3.7,2,0,10.7
2/7/2006,97,5.6,4.5,2.6,8.3,0,0,11.8
2/8/2006,87,5.6,3.9,2.3,5.1,0,0.2,14.5
2/9/2006,88,2.9,1.3,0.4,3.5,1,1.6,14.7
2/10/2006,88,2.2,1.3,-0.2,0,0,0.4,11.2
2/11/2006,88,3.1,0.6,-0.6,0,0,0,4.3
2/12/2006,76,5.6,1.8,-1,0,0,3.6,8.9
2/13/2006,73,4.3,0.5,-1.9,0,0,7.4,8.2
2/14/2006,82,5.5,2.3,-0.9,0.3,0,1.4,8.9
2/15/2006,91,7,5,3.3,5.5,0,0,17.3
2/16/2006,90,9.3,5.9,4,3.8,0,1,8.5
2/17/2006,90,5.9,4.7,3.6,7.7,0,0.3,11.1
2/18/2006,87,6.6,4.6,3,1,0,2.3,10.7
2/19/2006,91,7.1,3.6,1.7,0,0,2.7,8.1
2/20/2006,89,3.4,2.4,0.8,6.4,0,0,11.3
2/21/2006,93,2.5,1.5,0.5,2.1,0,0,13.5
